stubborn_2 - best_answer_adversary
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_2 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
