ficticious_play - ficticious_play
ficticious_play : (2, 0, 1, 2, 2)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
ficticious_play : (0, 0, 0, 0, 0)
