stubborn_1 - best_answer_adversary
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
stubborn_1 : (1, 1, 2, 3, 0)
best_answer_adversary : (0, 2, 0, 4, 1)
