best_answer_last_adversary - best_answer_adversary
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 1, 3, 0, 2)
best_answer_last_adversary : (0, 2, 0, 1, 3)
best_answer_adversary : (1, 3, 1, 2, 0)
