stubborn_2 - stubborn_1
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
stubborn_2 : (1, 1, 2, 3, 0)
stubborn_1 : (1, 1, 3, 0, 2)
