best_answer_last_adversary - better_answer_last_adversary
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
best_answer_last_adversary : (1, 1, 0, 3, 2)
better_answer_last_adversary : (0, 2, 1, 0, 3)
best_answer_last_adversary : (1, 3, 2, 1, 0)
better_answer_last_adversary : (0, 0, 3, 2, 1)
