best_answer_last_adversary - stubborn_1
best_answer_last_adversary : (0, 0, 1, 2, 3)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
stubborn_1 : (2, 1, 1, 1, 2)
